epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.105,1.28359,0.91476,1.1286,0.94806,0.88931,0.94031,0.58504,1.28564,0.68096,1.02975,0.00333082,0.00333082,0.00333082
2,545.902,1.25244,0.72468,1.05964,0.9516,0.9038,0.93606,0.56491,1.44464,0.7062,1.10039,0.0065322,0.0065322,0.0065322
3,809.161,1.31546,0.78027,1.12118,0.93987,0.87251,0.9144,0.56278,1.37589,0.7858,1.13635,0.00960158,0.00960158,0.00960158
4,1070.72,1.31683,0.77585,1.14289,0.95235,0.89052,0.93206,0.5989,1.29954,0.66555,1.1166,0.009406,0.009406,0.009406
5,1317.24,1.26784,0.72126,1.13199,0.9659,0.90291,0.94357,0.59634,1.33219,0.62229,1.12171,0.009208,0.009208,0.009208
6,1551.93,1.23803,0.68145,1.1255,0.97164,0.91614,0.95023,0.61282,1.28936,0.5891,1.10785,0.00901,0.00901,0.00901
7,1784.54,1.20993,0.65598,1.11528,0.97367,0.91941,0.9548,0.62403,1.27406,0.57285,1.09327,0.008812,0.008812,0.008812
8,2016.64,1.20293,0.63312,1.11283,0.96405,0.91818,0.94968,0.60896,1.3229,0.56664,1.1207,0.008614,0.008614,0.008614
9,2246.97,1.17871,0.61909,1.10208,0.96373,0.92224,0.95824,0.63807,1.22444,0.52467,1.0796,0.008416,0.008416,0.008416
10,2473.98,1.17081,0.60199,1.09623,0.97067,0.93386,0.95937,0.65255,1.17915,0.51482,1.05484,0.008218,0.008218,0.008218
11,2710.79,1.15129,0.58725,1.09114,0.9761,0.92636,0.96003,0.65279,1.20334,0.50719,1.07126,0.00802,0.00802,0.00802
12,2940.36,1.14821,0.58073,1.08654,0.95995,0.92683,0.95931,0.65405,1.19589,0.49498,1.06703,0.007822,0.007822,0.007822
13,3169.71,1.14233,0.57285,1.08724,0.97415,0.93433,0.96203,0.63922,1.2406,0.49779,1.08237,0.007624,0.007624,0.007624
14,3393.92,1.12185,0.55426,1.07497,0.969,0.93828,0.96214,0.65536,1.2011,0.47496,1.0624,0.007426,0.007426,0.007426
15,3615.59,1.11838,0.55355,1.07407,0.97886,0.93399,0.96528,0.66753,1.16056,0.46559,1.04895,0.007228,0.007228,0.007228
16,3833.01,1.10973,0.54526,1.0707,0.9818,0.93608,0.96693,0.67387,1.16482,0.46236,1.05016,0.00703,0.00703,0.00703
17,4051.39,1.10942,0.54072,1.07222,0.97887,0.93422,0.96767,0.66412,1.16905,0.45636,1.05215,0.006832,0.006832,0.006832
18,4271.1,1.10331,0.53748,1.06895,0.97513,0.9348,0.96429,0.66661,1.1763,0.45463,1.05268,0.006634,0.006634,0.006634
19,4490.36,1.10464,0.53266,1.06462,0.97339,0.94361,0.96933,0.67726,1.1387,0.45102,1.04076,0.006436,0.006436,0.006436
20,4708.29,1.08419,0.52125,1.05756,0.97954,0.93996,0.96641,0.68229,1.13502,0.43581,1.03733,0.006238,0.006238,0.006238
21,4924.72,1.08204,0.51648,1.05814,0.9795,0.94118,0.97088,0.67845,1.13389,0.4294,1.03684,0.00604,0.00604,0.00604
22,5144.03,1.07603,0.5144,1.05468,0.97963,0.94751,0.97282,0.6753,1.15175,0.43158,1.04376,0.005842,0.005842,0.005842
23,5360.79,1.07364,0.5088,1.05421,0.98009,0.94841,0.97367,0.68086,1.13688,0.42395,1.03482,0.005644,0.005644,0.005644
24,5578.14,1.0654,0.49949,1.05166,0.98268,0.94325,0.97253,0.68399,1.12849,0.41944,1.03413,0.005446,0.005446,0.005446
25,5797.35,1.054,0.49399,1.04884,0.97857,0.94934,0.97331,0.68472,1.12209,0.41882,1.03465,0.005248,0.005248,0.005248
