epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5485,1.13177,2.2411,1.34418,0.23249,0.67316,0.32723,0.23678,1.16303,2.25448,1.93166,0.000299393,0.000299393,0.000299393
2,68.8163,1.00819,1.61263,1.23819,0.29546,0.62858,0.38045,0.23626,1.46786,2.19261,2.15124,0.000596429,0.000596429,0.000596429
3,97.9255,1.01286,1.50792,1.23917,0.31848,0.52313,0.36775,0.24428,1.50024,2.05619,1.99649,0.000887466,0.000887466,0.000887466
4,126.233,0.98695,1.45244,1.22877,0.43443,0.54134,0.42689,0.30407,1.1305,1.95802,1.5547,0.000882003,0.000882003,0.000882003
5,156.673,0.97388,1.3805,1.21646,0.46813,0.59129,0.50637,0.36249,1.14102,1.47826,1.54049,0.000873004,0.000873004,0.000873004
6,186.812,0.94228,1.34424,1.19081,0.40713,0.66925,0.5048,0.36214,1.15664,1.78627,1.44262,0.000864004,0.000864004,0.000864004
7,214.423,0.9327,1.35127,1.19161,0.37653,0.648,0.51759,0.37048,1.16309,1.52347,1.51157,0.000855005,0.000855005,0.000855005
8,243.485,0.90562,1.32347,1.18862,0.39198,0.6524,0.52267,0.37908,1.07576,1.49971,1.52686,0.000846006,0.000846006,0.000846006
9,273.874,0.91677,1.28059,1.18594,0.48356,0.58103,0.5267,0.35629,1.07563,1.56472,1.44526,0.000837007,0.000837007,0.000837007
10,303.107,0.92039,1.27186,1.19269,0.48872,0.62462,0.58969,0.45039,0.96374,1.33017,1.33888,0.000828008,0.000828008,0.000828008
11,331.105,0.91302,1.2531,1.17476,0.4717,0.63641,0.57541,0.3995,1.14975,1.35408,1.56306,0.000819009,0.000819009,0.000819009
12,361.103,0.91096,1.23893,1.176,0.48588,0.6463,0.60031,0.42966,1.18014,1.39512,1.51739,0.00081001,0.00081001,0.00081001
13,391.352,0.88975,1.21925,1.16577,0.55542,0.57929,0.5813,0.41025,1.1473,1.31771,1.49263,0.000801011,0.000801011,0.000801011
14,419.199,0.90794,1.20225,1.17306,0.53662,0.66227,0.63483,0.45418,1.08675,1.26467,1.4427,0.000792012,0.000792012,0.000792012
15,448.345,0.88525,1.20192,1.16006,0.50622,0.68582,0.61433,0.44927,1.02546,1.24801,1.34362,0.000783013,0.000783013,0.000783013
16,478.836,0.89953,1.16469,1.16768,0.53658,0.66059,0.64664,0.48003,1.01161,1.20764,1.37558,0.000774013,0.000774013,0.000774013
17,507.793,0.88378,1.15815,1.15912,0.5193,0.66301,0.6408,0.47732,1.03212,1.30074,1.36463,0.000765014,0.000765014,0.000765014
18,535.57,0.86919,1.15212,1.15437,0.55612,0.65942,0.63054,0.47794,0.96406,1.18748,1.29149,0.000756015,0.000756015,0.000756015
19,565.111,0.88039,1.15057,1.16171,0.55373,0.67807,0.66274,0.49068,0.91938,1.19464,1.24684,0.000747016,0.000747016,0.000747016
20,595.488,0.85272,1.13003,1.14785,0.57635,0.67321,0.64926,0.48567,0.94308,1.20989,1.27945,0.000738017,0.000738017,0.000738017
21,624.255,0.86697,1.11723,1.13929,0.55421,0.68905,0.65227,0.4617,1.11286,1.12784,1.55792,0.000729018,0.000729018,0.000729018
22,652.658,0.86598,1.10855,1.14289,0.59809,0.66409,0.67978,0.50985,0.95531,1.0892,1.30513,0.000720019,0.000720019,0.000720019
23,682.543,0.83035,1.08652,1.13244,0.5728,0.67027,0.67526,0.50668,0.97131,1.11683,1.32665,0.00071102,0.00071102,0.00071102
24,712.403,0.8629,1.09764,1.15375,0.57946,0.70726,0.67336,0.49079,1.02316,1.13345,1.36207,0.000702021,0.000702021,0.000702021
