epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0694,1.53592,5.23484,1.7786,0.00164,0.33333,0.0085,0.00495,1.78023,5.06602,1.7714,5.555e-05,5.555e-05,5.555e-05
2,13.5127,1.10315,4.13354,1.35132,0.33746,1,0.52849,0.46361,0.4429,2.64115,0.92591,0.00011979,0.00011979,0.00011979
3,15.896,0.85061,2.76243,1.26014,0.32491,1,0.61292,0.5417,0.53147,2.46426,0.92985,0.000181391,0.000181391,0.000181391
4,18.2027,0.90549,2.46905,1.23783,0.32944,1,0.53698,0.36986,1.12066,2.4142,1.27209,0.000240352,0.000240352,0.000240352
5,20.6263,0.92904,2.32629,1.14673,0.31079,1,0.525,0.45261,0.76871,3.15171,1.00101,0.000296673,0.000296673,0.000296673
6,24.3967,0.84569,2.0714,1.09311,0.7107,0.8461,0.82917,0.69644,0.70753,2.65574,1.0387,0.000350354,0.000350354,0.000350354
7,27.4948,0.86947,2.0914,1.07615,0.73879,0.5,0.45762,0.41132,0.84303,4.23122,1.01856,0.000401395,0.000401395,0.000401395
8,29.7196,0.94171,2.04853,1.1735,0.33178,1,0.59111,0.48507,0.78532,7.18533,1.09526,0.000449797,0.000449797,0.000449797
9,31.9136,0.95909,1.82704,1.16284,0.31889,0.83333,0.57839,0.4172,0.88363,6.53278,1.20205,0.000495559,0.000495559,0.000495559
10,34.0392,0.83551,1.67469,1.08873,0.48372,0.69869,0.81167,0.7057,0.64765,2.04197,1.01647,0.000538682,0.000538682,0.000538682
11,36.2956,0.88482,1.66883,1.13319,0.61427,0.66667,0.61607,0.50726,0.69881,2.1414,1.18022,0.000579164,0.000579164,0.000579164
12,39.0478,0.89083,1.54576,1.12203,0.96104,0.16667,0.20012,0.17397,1.15898,2.91307,1.65022,0.000617007,0.000617007,0.000617007
13,42.4894,0.82919,1.47738,1.07201,0.77574,0.5,0.6126,0.53659,0.72583,1.6155,1.40343,0.00065221,0.00065221,0.00065221
14,45.0301,0.80279,1.42834,1.05078,0.69786,0.66667,0.57956,0.51613,0.76847,1.45883,1.3268,0.000684774,0.000684774,0.000684774
15,47.1367,0.83975,1.51313,1.10033,0.21405,0.41667,0.29448,0.19302,1.97563,3.4304,2.61557,0.000714697,0.000714697,0.000714697
16,49.2804,0.80678,1.4907,1.07698,0.1319,0.39967,0.174,0.06101,2.85163,4.43965,3.21224,0.000741981,0.000741981,0.000741981
17,51.4139,0.83034,1.38317,1.06802,0.43416,0.58333,0.58393,0.36668,2.1664,6.31922,2.73003,0.000759035,0.000759035,0.000759035
18,53.5602,0.83855,1.31757,1.05724,0.43308,0.83333,0.75693,0.36684,1.88024,6.69284,2.37424,0.000737037,0.000737037,0.000737037
19,56.6281,0.81432,1.26006,1.06471,0.32426,0.83333,0.28789,0.16364,2.2834,15.6364,3.62904,0.00071504,0.00071504,0.00071504
20,60.0181,0.77023,1.24712,1.06013,0.45027,0.5,0.55431,0.30336,1.7225,8.958,2.12624,0.000693042,0.000693042,0.000693042
21,62.1413,0.78858,1.2996,1.05073,0.35384,0.83333,0.51065,0.37524,1.28615,4.94763,1.56697,0.000671044,0.000671044,0.000671044
22,64.2908,0.83033,1.30095,1.15974,0.64416,0.83333,0.71012,0.61544,0.5017,1.48298,0.89546,0.000649046,0.000649046,0.000649046
23,66.4547,0.82201,1.38654,1.07369,0.68419,0.6611,0.66503,0.56385,0.60236,1.37973,0.94434,0.000627048,0.000627048,0.000627048
24,68.5954,0.72943,1.19919,1.02087,0.67534,0.6565,0.62249,0.53646,0.72069,2.51703,1.15699,0.000605051,0.000605051,0.000605051
25,70.9221,0.76068,1.14115,1.02705,0.68751,0.66667,0.6453,0.51833,0.81984,3.59188,1.21009,0.000583053,0.000583053,0.000583053
26,74.1026,0.79205,1.23444,1.04171,0.85054,0.83333,0.83944,0.72039,0.53081,1.066,0.88735,0.000561055,0.000561055,0.000561055
27,77.0034,0.71246,1.17996,1.02947,0.83534,0.75466,0.83944,0.76084,0.4872,1.30965,0.8781,0.000539057,0.000539057,0.000539057
28,79.2171,0.71287,1.02684,1.05109,0.69955,0.70142,0.82833,0.73458,0.54686,1.84209,0.93424,0.000517059,0.000517059,0.000517059
29,81.2842,0.62063,1.01309,0.9638,0.75094,0.73968,0.85864,0.76739,0.51968,1.45299,0.86867,0.000495062,0.000495062,0.000495062
30,83.4829,0.72208,1.06152,1.02381,0.86636,0.97297,0.995,0.89548,0.44344,0.63223,0.82202,0.000473064,0.000473064,0.000473064
31,85.6836,0.65741,1.01553,0.99765,0.81529,1,0.995,0.90389,0.45001,0.62777,0.80947,0.000451066,0.000451066,0.000451066
32,88.5147,0.7095,1.06001,1.05217,0.89572,1,0.995,0.88545,0.47489,0.58567,0.82456,0.000429068,0.000429068,0.000429068
33,91.9398,0.76598,1.03127,1.08542,0.91058,1,0.995,0.8955,0.42004,0.57645,0.79669,0.00040707,0.00040707,0.00040707
34,94.2532,0.66249,1.02402,1.03379,0.83732,0.83333,0.86167,0.76282,0.53678,0.6654,0.87964,0.000385073,0.000385073,0.000385073
35,96.3712,0.72322,0.9166,1.03552,0.75682,0.83333,0.91167,0.77796,0.54663,0.7628,0.88678,0.000363075,0.000363075,0.000363075
36,98.5331,0.66151,0.91532,1.00809,0.65404,1,0.91167,0.80556,0.48503,0.71454,0.83134,0.000341077,0.000341077,0.000341077
37,100.641,0.65665,0.91845,0.98732,0.75812,0.82166,0.91167,0.78881,0.49708,0.73129,0.8418,0.000319079,0.000319079,0.000319079
38,102.954,0.72596,0.95354,1.0187,0.84472,0.83333,0.91167,0.76207,0.47025,0.74108,0.85108,0.000297081,0.000297081,0.000297081
39,106.03,0.66434,0.97427,1.01968,0.85994,0.83333,0.93944,0.83511,0.43374,0.65445,0.84037,0.000275084,0.000275084,0.000275084
40,109.237,0.64108,0.90449,1.00924,0.78008,0.98979,0.995,0.89416,0.4038,0.51602,0.81519,0.000253086,0.000253086,0.000253086
41,112.794,0.53515,0.78889,0.94399,0.80541,0.98876,0.995,0.90525,0.38589,0.4608,0.80688,0.000231088,0.000231088,0.000231088
42,115.185,0.50503,0.63294,0.94594,0.97525,0.90984,0.995,0.91869,0.36694,0.44269,0.79701,0.00020909,0.00020909,0.00020909
43,117.425,0.50199,0.65552,0.94049,0.9873,0.84634,0.995,0.91932,0.36586,0.46495,0.80041,0.000187092,0.000187092,0.000187092
44,119.755,0.4823,0.62369,0.93402,0.82064,0.98959,0.995,0.94559,0.3589,0.42723,0.79499,0.000165095,0.000165095,0.000165095
45,122.876,0.50456,0.5831,0.92116,0.85818,0.83333,0.93944,0.86706,0.39095,0.61754,0.82884,0.000143097,0.000143097,0.000143097
46,126.245,0.4676,0.60344,0.91306,0.86608,0.83333,0.93944,0.85788,0.38047,0.68845,0.83934,0.000121099,0.000121099,0.000121099
47,128.723,0.47426,0.5449,0.91092,0.87101,0.83333,0.93944,0.85665,0.35002,0.67189,0.8178,9.91012e-05,9.91012e-05,9.91012e-05
48,130.787,0.45851,0.5798,0.93219,0.8707,0.83333,0.91167,0.84721,0.30656,0.59438,0.77844,7.71034e-05,7.71034e-05,7.71034e-05
49,132.85,0.43741,0.60897,0.94055,0.86988,0.83333,0.93944,0.86661,0.30164,0.55524,0.76892,5.51056e-05,5.51056e-05,5.51056e-05
50,134.916,0.46205,0.56636,0.92139,0.86869,0.83333,0.93944,0.87712,0.30293,0.52793,0.76718,3.31078e-05,3.31078e-05,3.31078e-05
