epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25925,1.33876,4.02314,1.7377,0.0019,0.66667,0.03477,0.01935,1.46586,4.01661,1.77154,5.555e-05,5.555e-05,5.555e-05
2,11.4301,0.95673,3.68221,1.34924,0.13515,1,0.68658,0.6129,0.56324,3.52809,1.06511,0.000121,0.000121,0.000121
3,13.7866,0.83072,3.37819,1.24993,0.05532,1,0.7581,0.68951,0.46569,3.45471,0.95366,0.00018513,0.00018513,0.00018513
4,16.2987,0.89583,3.2599,1.26891,0.02624,1,0.40764,0.24837,0.68683,3.51886,1.15617,0.000247941,0.000247941,0.000247941
5,20.2653,0.87858,3.1245,1.1946,0.00989,1,0.35726,0.29669,0.63129,3.37791,1.0677,0.000309431,0.000309431,0.000309431
6,22.7273,0.83327,2.9401,1.16427,0.01083,1,0.56978,0.36911,1.32331,3.57015,1.50904,0.000369602,0.000369602,0.000369602
7,24.842,0.92641,2.88926,1.23199,0.01346,1,0.48837,0.42996,0.61818,3.32138,1.1071,0.000428453,0.000428453,0.000428453
8,26.8516,0.98153,2.87654,1.30395,0.01005,1,0.47601,0.40239,0.7337,3.05287,1.23185,0.000485984,0.000485984,0.000485984
9,28.8422,0.93363,2.72995,1.21508,0.00846,1,0.67476,0.41524,0.67774,3.19856,1.16036,0.000542195,0.000542195,0.000542195
10,30.9338,0.76715,2.56717,1.142,0.00916,1,0.58833,0.45684,0.65355,3.11521,1.05191,0.000597086,0.000597086,0.000597086
11,33.7326,0.90718,2.53758,1.20919,0.00751,1,0.68489,0.55542,0.75684,2.80819,1.10561,0.000650657,0.000650657,0.000650657
12,37.1126,0.88454,2.54406,1.17414,0.30322,1,0.52514,0.45741,0.62553,2.62605,1.10055,0.000702909,0.000702909,0.000702909
13,39.3297,0.86309,2.55517,1.15651,0.37147,1,0.87,0.52172,0.78502,2.93172,1.31074,0.00075384,0.00075384,0.00075384
14,41.3123,0.81023,2.33755,1.17116,0.62421,0.5555,0.69028,0.54386,0.65698,2.53766,1.08581,0.000803452,0.000803452,0.000803452
15,43.4175,0.86546,2.32071,1.16739,0.21935,1,0.66333,0.53886,0.69324,2.61068,1.04245,0.000851744,0.000851744,0.000851744
16,45.4533,0.82838,2.37416,1.1209,0.54631,1,0.72361,0.60847,0.67698,2.48006,1.0382,0.000898716,0.000898716,0.000898716
17,47.4165,0.84107,2.28369,1.10386,0.50163,0.96324,0.67417,0.6023,0.55107,2.3419,1.04162,0.000935018,0.000935018,0.000935018
18,50.6642,0.87331,2.31323,1.12415,0.35282,0.72611,0.70194,0.60901,0.69685,2.19528,1.11035,0.000924019,0.000924019,0.000924019
19,54.0471,0.84988,2.24014,1.13974,0.37133,0.75257,0.71861,0.57763,0.78901,2.27262,1.24259,0.00091302,0.00091302,0.00091302
20,56.5736,0.81225,2.18573,1.11406,0.46864,0.95076,0.74583,0.60774,0.65734,2.20647,1.10232,0.000902021,0.000902021,0.000902021
21,58.644,0.83576,2.19729,1.08075,0.48182,0.91586,0.83944,0.68369,0.62134,2.08459,1.0101,0.000891022,0.000891022,0.000891022
22,60.7782,0.8187,2.25132,1.14819,0.48396,1,0.82889,0.6493,0.78793,1.78408,1.10343,0.000880023,0.000880023,0.000880023
23,62.8226,0.82458,2.23018,1.1244,0.6172,0.76156,0.82833,0.64337,0.94659,1.86462,1.15947,0.000869024,0.000869024,0.000869024
24,65.011,0.7307,2.08606,1.06081,0.68622,0.99026,0.82889,0.72935,0.60772,1.6067,0.9978,0.000858025,0.000858025,0.000858025
25,68.0856,0.76728,2.05673,1.09323,0.77613,0.96099,0.93944,0.79068,0.58906,1.50152,1.03841,0.000847026,0.000847026,0.000847026
26,71.7229,0.83072,2.13747,1.09958,0.52727,1,0.80111,0.69618,0.59409,1.54641,1.01056,0.000836027,0.000836027,0.000836027
27,74.0664,0.76099,2.05379,1.0807,0.63883,1,0.80111,0.72101,0.54326,1.5024,0.97767,0.000825029,0.000825029,0.000825029
28,76.1422,0.80089,1.93905,1.10534,0.75846,0.83333,0.82889,0.76524,0.56447,1.34057,1.00711,0.00081403,0.00081403,0.00081403
29,78.0541,0.72382,1.92829,1.0684,0.6675,0.96828,0.77389,0.6467,0.67895,1.33326,1.0183,0.000803031,0.000803031,0.000803031
30,80.2448,0.79372,1.90556,1.0724,0.5486,1,0.77389,0.69922,0.54082,1.44058,0.98786,0.000792032,0.000792032,0.000792032
31,82.4895,0.73634,1.86859,1.05728,0.55995,1,0.82889,0.75972,0.50843,1.42685,0.96049,0.000781033,0.000781033,0.000781033
32,85.8049,0.79714,1.95262,1.12202,0.66836,0.81012,0.86722,0.78317,0.56271,1.47778,0.98697,0.000770034,0.000770034,0.000770034
